initial_diameter_um,time_ms,T_K,p_Pa,rho_kg_m3,O2_fraction,C7H16_fraction,vel_mag_m_s,distance_from_inlet_m,radial_distance_m
20,6.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.001496623202557244,-0.0025000000000000005,0.07566372975210778
20,7.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.001496623202557244,-0.0025000000000000005,0.07566372975210778
20,8.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.001496623202557244,-0.0025000000000000005,0.07566372975210778
20,9.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.001496623202557244,-0.0025000000000000005,0.07566372975210778
20,10.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.001496623202557244,-0.0025000000000000005,0.07566372975210778
20,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014016683554776736,-0.0025000000000000005,0.07516648189186453
20,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014016683554776736,-0.0025000000000000005,0.07516648189186453
20,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014016683554776736,-0.0025000000000000005,0.07516648189186453
20,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014016683554776736,-0.0025000000000000005,0.07516648189186453
20,4.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014016683554776736,-0.0025000000000000005,0.07516648189186453
20,5.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014016683554776736,-0.0025000000000000005,0.07516648189186453
20,6.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014016683554776736,-0.0025000000000000005,0.07516648189186453
20,7.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014016683554776736,-0.0025000000000000005,0.07516648189186453
20,8.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014016683554776736,-0.0025000000000000005,0.07516648189186453
20,9.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014016683554776736,-0.0025000000000000005,0.07516648189186453
20,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014016683554776736,-0.0025000000000000005,0.07516648189186453
20,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014290568115560402,-0.0025000000000000005,0.075
20,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014290568115560402,-0.0025000000000000005,0.075
20,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014290568115560402,-0.0025000000000000005,0.075
20,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014290568115560402,-0.0025000000000000005,0.075
20,4.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014290568115560402,-0.0025000000000000005,0.075
20,5.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014290568115560402,-0.0025000000000000005,0.075
20,6.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014290568115560402,-0.0025000000000000005,0.075
20,7.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014290568115560402,-0.0025000000000000005,0.075
20,8.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014290568115560402,-0.0025000000000000005,0.075
20,9.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014290568115560402,-0.0025000000000000005,0.075
20,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0014290568115560402,-0.0025000000000000005,0.075
50,0.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
50,1.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
50,2.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
50,3.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
50,4.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
50,5.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
50,6.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
50,7.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
50,8.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
50,9.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
50,10.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00010957025616937846,-0.0025000000000000005,0.01
50,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
50,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
50,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
50,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
50,4.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
50,5.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
50,6.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
50,7.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
50,8.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
50,9.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
50,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012055334025485962,-0.0025000000000000005,0.005
50,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
50,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
50,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
50,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
50,4.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
50,5.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
50,6.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
50,7.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
50,8.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
50,9.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00012054085087541862,-0.0025000000000000005,0.0
