r_over_d,F,Frms,T,Trms,YO2,YO2rms,YN2,YN2rms,YH2,YH2rms,YH2O,YH2Orms,YCH4,YCH4rms,YCO,YCOrms,YCO2,YCO2rms,YOH,YOHrms,YNO,YNOrms,YCOLIF,YCOrms2,TNDR,source_file,axial_location
0.93,0.2563,0.0309,1804.0,133.0,0.0636,0.0189,0.736,0.00986,8.4e-05,0.000148,0.0894,0.0105,0.000668,0.000908,0.00204,0.00368,0.105,0.0108,0.00192,0.000584,1.66e-05,4.59e-06,0.00362,0.00226,0.0,D03,3.0
1.07,0.2009,0.0512,1529.0,261.0,0.0976,0.0346,0.742,0.0105,2.74e-05,9.36e-05,0.0718,0.0163,0.000262,0.000684,0.000404,0.00293,0.0872,0.0222,0.000747,0.000513,1.04e-05,4.16e-06,0.000853,0.000817,0.0,D03,3.0
1.21,0.1539,0.0599,1270.0,323.0,0.128,0.0415,0.747,0.0097,1.39e-05,7.67e-05,0.0568,0.019,0.000181,0.00051,6.71e-05,0.00263,0.067,0.0269,0.000321,0.000365,6.98e-06,3.78e-06,0.000459,0.000466,0.0,D03,3.0
1.35,0.1369,0.0582,1170.0,327.0,0.14,0.0407,0.748,0.00924,4.77e-06,6.65e-05,0.0511,0.0188,4.62e-05,0.000368,0.0,0.00225,0.0606,0.0264,0.000177,0.000217,6.1e-06,3.23e-06,0.000326,0.000359,0.0,D03,3.0
1.49,0.1003,0.0623,960.0,368.0,0.165,0.0431,0.751,0.00916,9.67e-06,5.21e-05,0.0392,0.0197,0.00014,0.000321,0.0,0.00191,0.0439,0.0283,9.26e-05,0.000136,4.07e-06,2.98e-06,0.000179,0.000258,0.0,D03,3.0
1.62,0.0538,0.049,686.0,324.0,0.197,0.0334,0.755,0.0082,1.33e-05,3.73e-05,0.0244,0.0151,2.51e-05,0.000196,0.0,0.00148,0.0232,0.0232,2.97e-05,6.04e-05,2.37e-06,2.28e-06,9.94e-05,0.000161,0.0,D03,3.0
1.9,0.0,0.0013,302.0,11.0,0.23,0.00398,0.764,0.0041,5.11e-06,5.91e-06,0.00628,0.000653,1.3e-05,6.68e-05,0.0,0.00038,0.0,0.000419,0.0,1.37e-07,1.44e-07,1.45e-07,2.17e-05,4.03e-05,0.0,D03,3.0
2.18,0.0,0.001,294.0,4.0,0.231,0.00397,0.763,0.00403,4.51e-06,5.44e-06,0.00601,0.000494,0.0,6.08e-05,0.0,0.000385,0.0,0.000378,0.0,1.37e-07,9e-08,1.17e-07,1.13e-05,4.11e-05,0.0,D03,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,D075,75.0
-2.78,0.0,0.0009,291.0,3.0,0.23,0.00378,0.764,0.00379,3.36e-06,4.81e-06,0.00602,0.000469,0.0,6.19e-05,0.0,0.000377,0.0,0.000362,5.1e-08,1.14e-07,1.59e-07,1.43e-07,2.75e-05,4.03e-05,0.0,D075,75.0
