diameter,T_ambient,viscosity,pressure,O2_conc,velocity,fuel_type_encoded,residence_time,surface_tension,density
31.64,1406.0,0.005549506644738792,101325.0,0.0665,15.82,1.0,9.29203539823009,0.0640224,0.25110155084481145
27.6,1586.0,0.005894043094515003,101325.0,0.0491,13.8,1.0,10.652173913043477,0.06272639999999999,0.2226032663857534
22.57,1714.0,0.006127271497167398,101325.0,0.0421,11.285,1.0,13.026140894993352,0.0618048,0.20597945185986283
16.485,1716.0,0.0061308452924535625,101325.0,0.0563,8.2425,1.0,17.8343949044586,0.061790399999999995,0.20573938256865087
12.04,1591.0,0.005903326519853023,101325.0,0.0811,6.02,1.0,24.41860465116279,0.0626904,0.22190369609541474
8.98,1363.0,0.005463986822824521,101325.0,0.114,4.49,1.0,32.73942093541202,0.06433199999999999,0.2590233165721239
6.39,1097.0,0.004901906567857042,101325.0,0.146,3.195,1.0,46.0093896713615,0.06624719999999999,0.32183115814749763
4.535,889.0,0.004412783248699171,101325.0,0.17,2.2675,1.0,64.82910694597574,0.0677448,0.39713023676918435
3.225,737.0,0.004017866100307475,101325.0,0.186,1.6125,1.0,91.16279069767441,0.06883919999999999,0.4790349803090975
2.23,604.0,0.003637308895323574,101325.0,0.199,1.115,1.0,131.83856502242153,0.06979679999999999,0.5845178484897432
0.755,406.0,0.002982117368582263,101325.0,0.218,0.3775,1.0,389.4039735099338,0.07122239999999999,0.8695782770635588
0.02,302.0,0.0025719657851534495,101325.0,0.228,0.01,1.0,1469.9999999999998,0.0719712,1.1690356969794864
,,,101325.0,,,1.0,,,
16.605,1888.0,0.006430766050790528,101325.0,0.0325,8.3025,1.0,26.558265582655828,0.060551999999999995,0.18699617610582886
18.575,1936.0,0.006512,101325.0,0.021,9.2875,1.0,23.74158815612382,0.0602064,0.18235990727675871
19.34,1938.0,0.006515362768104322,101325.0,0.0183,9.67,1.0,22.80248190279214,0.060191999999999996,0.18217171335800045
18.66,1933.0,0.00650695258934626,101325.0,0.0209,9.33,1.0,23.633440514469452,0.060228,0.18264292834340656
16.950000000000003,1891.0,0.006435873211927034,101325.0,0.0325,8.475000000000001,1.0,26.017699115044245,0.0605304,0.18669951374288993
14.85,1804.0,0.00628608113215221,101325.0,0.0487,7.425,1.0,29.6969696969697,0.06115679999999999,0.19570331512627764
12.435,1644.0,0.006000847940083135,101325.0,0.0745,6.2175,1.0,35.464414957780455,0.06230879999999999,0.21474986647676697
9.885,1457.0,0.005649259066461725,101325.0,0.102,4.9425,1.0,44.613050075872536,0.0636552,0.24231213485779332
7.445,1223.0,0.00517576970121353,101325.0,0.131,3.7225,1.0,59.234385493619875,0.06534,0.2886743912410506
5.805,1040.0,0.0047728565869927415,101325.0,0.153,2.9025,1.0,75.96899224806201,0.0666576,0.33946998123827393
4.43,886.0,0.004405331315576616,101325.0,0.17,2.215,1.0,99.54853273137698,0.0677664,0.3984749215437978
2.48,637.0,0.003735351121380693,101325.0,0.195,1.24,1.0,177.82258064516128,0.06955919999999999,0.554236704062488
1.11,455.0,0.0031569478931398284,101325.0,0.213,0.555,1.0,397.2972972972973,0.07086959999999999,0.7759313856874832
0.255,335.0,0.0027088447722230227,101325.0,0.224,0.1275,1.0,1729.4117647058824,0.0717336,1.0538769566800146
,,,101325.0,,,1.0,,,
9.78,1500.0,0.005732015352386977,101325.0,0.0982,4.89,1.0,60.122699386503065,0.0633456,0.23536585365853657
10.69,1578.0,0.005879159123548197,101325.0,0.0881,5.345,1.0,55.004677268475206,0.06278399999999999,0.22373180005564314
10.985,1605.0,0.0059292427847069985,101325.0,0.0834,5.4925,1.0,53.527537551206194,0.0625896,0.21996808753134262
10.715,1573.0,0.005869837476455374,101325.0,0.0882,5.3575,1.0,54.87634157722818,0.06282,0.22444296280216458
9.83,1499.0,0.005730104362051358,101325.0,0.0981,4.915,1.0,59.81688708036622,0.0633528,0.2355228689044729
9.275,1442.0,0.005620103913630067,101325.0,0.106,4.6375,1.0,63.39622641509433,0.06376319999999999,0.2448327187848855
8.045,1309.0,0.00535465554447716,101325.0,0.122,4.0225,1.0,73.088875077688,0.0647208,0.26970877042613056
6.63,1157.0,0.0050341760001017056,101325.0,0.14,3.315,1.0,88.68778280542985,0.06581519999999999,0.305141556169235
5.615,1035.0,0.0047613695508750414,101325.0,0.154,2.8075,1.0,104.71950133570792,0.06669359999999999,0.3411099328384588
3.55,778.0,0.004128112401570481,101325.0,0.182,1.775,1.0,165.6338028169014,0.068544,0.45379020628252553
1.9800000000000002,576.0,0.003552,101325.0,0.202,0.9900000000000001,1.0,296.96969696969694,0.06999839999999999,0.6129319105691057
1.11,452.0,0.003146523160569456,101325.0,0.213,0.555,1.0,529.7297297297297,0.0708912,0.7810813727606303
0.4,357.0,0.0027963776568982954,101325.0,0.222,0.2,1.0,1469.9999999999998,0.07157519999999999,0.9889321582291453
,,,101325.0,,,1.0,,,
6.694999999999999,1152.0,0.005023286573549233,101325.0,0.141,3.3474999999999997,1.0,109.78342046303212,0.0658512,0.30646595528455284
6.87,1175.0,0.005073184404296773,101325.0,0.137,3.435,1.0,106.98689956331877,0.0656856,0.30046704722366374
6.965000000000001,1188.0,0.005101171630125769,101325.0,0.136,3.4825000000000004,1.0,105.52763819095476,0.065592,0.29717910815471793
6.77,1164.0,0.005049381744332665,101325.0,0.14,3.385,1.0,108.5672082717873,0.0657648,0.30330651244656776
6.65,1152.0,0.005023286573549233,101325.0,0.141,3.325,1.0,110.52631578947368,0.0658512,0.30646595528455284
5.67,1036.0,0.0047636691740716,101325.0,0.154,2.835,1.0,129.62962962962962,0.06668639999999999,0.3407806761465298
4.735,927.0,0.004506107854900946,101325.0,0.166,2.3675,1.0,155.22703273495247,0.0674712,0.3808508958875996
3.415,759.0,0.00407739328493095,101325.0,0.183,1.7075,1.0,215.22693997071744,0.06868079999999999,0.4651499084160802
2.465,634.0,0.0037265447803561946,101325.0,0.196,1.2325,1.0,298.1744421906694,0.0695808,0.5568592752173579
1.545,513.0,0.003352126489260213,101325.0,0.207,0.7725,1.0,475.7281553398058,0.070452,0.6882042504635573
0.9400000000000001,428.0,0.0030618478081054262,101325.0,0.215,0.47000000000000003,1.0,781.9148936170212,0.07106399999999999,0.8248803282425348
0.49,367.0,0.0028352721209788665,101325.0,0.221,0.245,1.0,1500.0,0.07150319999999999,0.9619857778959261
