parcel_id,initial_diameter_um,time_ms,diameter_um,T_K,p_Pa,rho_kg_m3,O2_fraction,C7H16_fraction,vel_mag_m_s,distance_from_inlet_m,radial_distance_m,evaporation_time_ms,emissions_proxy,diameter_fraction
3.0,10,9.0,8.819543638898596,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945,40.511981415653736,15755.990707826868,0.8819543638898596
3.0,10,10.0,8.678475928566458,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.0003286513203032986,-0.0025000000000000005,0.018027756377319945,40.511981415653736,15255.990707826868,0.8678475928566458
4.0,10,0.0,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896,40.511314612726636,20255.65730636332,1.0
4.0,10,1.0,9.875806489351964,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896,40.511314612726636,19755.65730636332,0.9875806489351964
4.0,10,2.0,9.750031160475988,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896,40.511314612726636,19255.65730636332,0.9750031160475988
4.0,10,3.0,9.62261198663747,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896,40.511314612726636,18755.65730636332,0.9622611986637469
4.0,10,4.0,9.493482778227678,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896,40.511314612726636,18255.65730636332,0.9493482778227678
4.0,10,5.0,9.362572780792247,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896,40.511314612726636,17755.65730636332,0.9362572780792247
4.0,10,6.0,9.229806221733924,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896,40.511314612726636,17255.65730636332,0.9229806221733924
4.0,10,7.0,9.095101797444855,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896,40.511314612726636,16755.65730636332,0.9095101797444854
4.0,10,8.0,8.958372091011348,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896,40.511314612726636,16255.657306363319,0.8958372091011348
4.0,10,9.0,8.81952290864633,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896,40.511314612726636,15755.657306363319,0.8819522908646331
4.0,10,10.0,8.67845252053981,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036157607262496947,-0.0025000000000000005,0.015811388300841896,40.511314612726636,15255.657306363319,0.867845252053981
5.0,10,0.0,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015,40.511314744038785,20255.657372019392,1.0
5.0,10,1.0,9.875806489757052,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015,40.511314744038785,19755.657372019392,0.9875806489757052
5.0,10,2.0,9.750031161296617,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015,40.511314744038785,19255.657372019392,0.9750031161296617
5.0,10,3.0,9.622611987884712,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015,40.511314744038785,18755.657372019392,0.9622611987884712
5.0,10,4.0,9.493482779913286,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015,40.511314744038785,18255.657372019392,0.9493482779913286
5.0,10,5.0,9.36257278292872,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015,40.511314744038785,17755.657372019392,0.936257278292872
5.0,10,6.0,9.229806224334567,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015,40.511314744038785,17255.657372019392,0.9229806224334567
5.0,10,7.0,9.095101800523878,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.00036156958871388044,-0.0025000000000000005,0.015,40.511314744038785,16755.657372019392,0.9095101800523878
